Cenario,normalizacao,padronizacao,media,remocao,pca,kmeans,dbscan,hierarquico,2clusters,5clusters,8clusters,5samples,10samples,Silhouette_Score,Calinski-Harabasz_Index,Davies-Bouldin_Index
1,x,,x,,x,x,,,x,,,x,,0.3739860972658313,88.21087632592896,1.1546815421571406
2,x,,x,,x,x,,,x,,,,x,0.3739860972658313,88.21087632592896,1.1546815421571406
3,x,,x,,x,x,,,,x,,x,,0.44768239032073043,75.00713017040759,0.794463087412933
4,x,,x,,x,x,,,,x,,,x,0.44768239032073043,75.00713017040759,0.794463087412933
5,x,,x,,x,x,,,,,x,x,,0.5362876847613576,99.4612170627351,0.7561550388812858
6,x,,x,,x,x,,,,,x,,x,0.5362876847613576,99.4612170627351,0.7561550388812858
7,x,,x,,x,,x,,x,,,x,,0.44563197686944994,47.268540998617716,0.8533828371529302
8,x,,x,,x,,x,,x,,,,x,0.37175691762151936,30.480611020726187,0.8467086703695924
9,x,,x,,x,,x,,,x,,x,,0.44563197686944994,47.268540998617716,0.8533828371529302
10,x,,x,,x,,x,,,x,,,x,0.37175691762151936,30.480611020726187,0.8467086703695924
11,x,,x,,x,,x,,,,x,x,,0.44563197686944994,47.268540998617716,0.8533828371529302
12,x,,x,,x,,x,,,,x,,x,0.37175691762151936,30.480611020726187,0.8467086703695924
13,x,,x,,x,,,x,x,,,x,,0.3740893424901973,87.6474744017556,1.1556367620395107
14,x,,x,,x,,,x,x,,,,x,0.3740893424901973,87.6474744017556,1.1556367620395107
15,x,,x,,x,,,x,,x,,x,,0.44768239032073043,75.00713017040759,0.794463087412933
16,x,,x,,x,,,x,,x,,,x,0.44768239032073043,75.00713017040759,0.794463087412933
17,x,,x,,x,,,x,,,x,x,,0.5362876847613576,99.4612170627351,0.7561550388812858
18,x,,x,,x,,,x,,,x,,x,0.5362876847613576,99.4612170627351,0.7561550388812858
19,x,,x,,,x,,,x,,,x,,0.3650182476914117,84.60089305558142,1.179930456375742
20,x,,x,,,x,,,x,,,,x,0.3650182476914117,84.60089305558142,1.179930456375742
21,x,,x,,,x,,,,x,,x,,0.4270798920660005,69.55312909912355,0.848499637242605
22,x,,x,,,x,,,,x,,,x,0.4270798920660005,69.55312909912355,0.848499637242605
23,x,,x,,,x,,,,,x,x,,0.5051356071115517,86.75522904815332,0.8106515005513617
24,x,,x,,,x,,,,,x,,x,0.5051356071115517,86.75522904815332,0.8106515005513617
25,x,,x,,,,x,,x,,,x,,0.3443110810535673,29.89501798489023,0.9504205836671393
26,x,,x,,,,x,,x,,,,x,0.24518269645096344,21.873453710376303,0.9981184812140989
27,x,,x,,,,x,,,x,,x,,0.3443110810535673,29.89501798489023,0.9504205836671393
28,x,,x,,,,x,,,x,,,x,0.24518269645096344,21.873453710376303,0.9981184812140989
29,x,,x,,,,x,,,,x,x,,0.3443110810535673,29.89501798489023,0.9504205836671393
30,x,,x,,,,x,,,,x,,x,0.24518269645096344,21.873453710376303,0.9981184812140989
31,x,,x,,,,,x,x,,,x,,0.3647066800486266,84.0664031761843,1.1807179237747303
32,x,,x,,,,,x,x,,,,x,0.3647066800486266,84.0664031761843,1.1807179237747303
33,x,,x,,,,,x,,x,,x,,0.4270798920660005,69.55312909912355,0.848499637242605
34,x,,x,,,,,x,,x,,,x,0.4270798920660005,69.55312909912355,0.848499637242605
35,x,,x,,,,,x,,,x,x,,0.5051356071115517,86.75522904815334,0.8106515005513617
36,x,,x,,,,,x,,,x,,x,0.5051356071115517,86.75522904815334,0.8106515005513617
37,x,,,x,x,x,,,x,,,x,,0.3739860972658313,88.21087632592896,1.1546815421571406
38,x,,,x,x,x,,,x,,,,x,0.3739860972658313,88.21087632592896,1.1546815421571406
39,x,,,x,x,x,,,,x,,x,,0.44768239032073043,75.00713017040759,0.794463087412933
40,x,,,x,x,x,,,,x,,,x,0.44768239032073043,75.00713017040759,0.794463087412933
41,x,,,x,x,x,,,,,x,x,,0.5362876847613576,99.4612170627351,0.7561550388812858
42,x,,,x,x,x,,,,,x,,x,0.5362876847613576,99.4612170627351,0.7561550388812858
43,x,,,x,x,,x,,x,,,x,,0.44563197686944994,47.268540998617716,0.8533828371529302
44,x,,,x,x,,x,,x,,,,x,0.37175691762151936,30.480611020726187,0.8467086703695924
45,x,,,x,x,,x,,,x,,x,,0.44563197686944994,47.268540998617716,0.8533828371529302
46,x,,,x,x,,x,,,x,,,x,0.37175691762151936,30.480611020726187,0.8467086703695924
47,x,,,x,x,,x,,,,x,x,,0.44563197686944994,47.268540998617716,0.8533828371529302
48,x,,,x,x,,x,,,,x,,x,0.37175691762151936,30.480611020726187,0.8467086703695924
49,x,,,x,x,,,x,x,,,x,,0.3740893424901973,87.6474744017556,1.1556367620395107
50,x,,,x,x,,,x,x,,,,x,0.3740893424901973,87.6474744017556,1.1556367620395107
51,x,,,x,x,,,x,,x,,x,,0.44768239032073043,75.00713017040759,0.794463087412933
52,x,,,x,x,,,x,,x,,,x,0.44768239032073043,75.00713017040759,0.794463087412933
53,x,,,x,x,,,x,,,x,x,,0.5362876847613576,99.4612170627351,0.7561550388812858
54,x,,,x,x,,,x,,,x,,x,0.5362876847613576,99.4612170627351,0.7561550388812858
55,x,,,x,,x,,,x,,,x,,0.3650182476914117,84.60089305558142,1.179930456375742
56,x,,,x,,x,,,x,,,,x,0.3650182476914117,84.60089305558142,1.179930456375742
57,x,,,x,,x,,,,x,,x,,0.4270798920660005,69.55312909912355,0.848499637242605
58,x,,,x,,x,,,,x,,,x,0.4270798920660005,69.55312909912355,0.848499637242605
59,x,,,x,,x,,,,,x,x,,0.5051356071115517,86.75522904815332,0.8106515005513617
60,x,,,x,,x,,,,,x,,x,0.5051356071115517,86.75522904815332,0.8106515005513617
61,x,,,x,,,x,,x,,,x,,0.3443110810535673,29.89501798489023,0.9504205836671393
62,x,,,x,,,x,,x,,,,x,0.24518269645096344,21.873453710376303,0.9981184812140989
63,x,,,x,,,x,,,x,,x,,0.3443110810535673,29.89501798489023,0.9504205836671393
64,x,,,x,,,x,,,x,,,x,0.24518269645096344,21.873453710376303,0.9981184812140989
65,x,,,x,,,x,,,,x,x,,0.3443110810535673,29.89501798489023,0.9504205836671393
66,x,,,x,,,x,,,,x,,x,0.24518269645096344,21.873453710376303,0.9981184812140989
67,x,,,x,,,,x,x,,,x,,0.3647066800486266,84.0664031761843,1.1807179237747303
68,x,,,x,,,,x,x,,,,x,0.3647066800486266,84.0664031761843,1.1807179237747303
69,x,,,x,,,,x,,x,,x,,0.4270798920660005,69.55312909912355,0.848499637242605
70,x,,,x,,,,x,,x,,,x,0.4270798920660005,69.55312909912355,0.848499637242605
71,x,,,x,,,,x,,,x,x,,0.5051356071115517,86.75522904815334,0.8106515005513617
72,x,,,x,,,,x,,,x,,x,0.5051356071115517,86.75522904815334,0.8106515005513617
73,,x,x,,x,x,,,x,,,x,,0.4904088613905795,148.70690635205187,0.8627452305703761
74,,x,x,,x,x,,,x,,,,x,0.4904088613905795,148.70690635205187,0.8627452305703761
75,,x,x,,x,x,,,,x,,x,,0.4560309822301556,111.20538704163336,0.9836459682167235
76,,x,x,,x,x,,,,x,,,x,0.4560309822301556,111.20538704163336,0.9836459682167235
77,,x,x,,x,x,,,,,x,x,,0.27316121451354775,95.70706893404953,1.179748295433994
78,,x,x,,x,x,,,,,x,,x,0.27316121451354775,95.70706893404953,1.179748295433994
79,,x,x,,x,,x,,x,,,x,,,,
80,,x,x,,x,,x,,x,,,,x,,,
81,,x,x,,x,,x,,,x,,x,,,,
82,,x,x,,x,,x,,,x,,,x,,,
83,,x,x,,x,,x,,,,x,x,,,,
84,,x,x,,x,,x,,,,x,,x,,,
85,,x,x,,x,,,x,x,,,x,,0.46837136712106986,138.25972429683063,0.8539692803560133
86,,x,x,,x,,,x,x,,,,x,0.46837136712106986,138.25972429683063,0.8539692803560133
87,,x,x,,x,,,x,,x,,x,,0.4548320928543054,110.83391118967796,0.9989593719156307
88,,x,x,,x,,,x,,x,,,x,0.4548320928543054,110.83391118967796,0.9989593719156307
89,,x,x,,x,,,x,,,x,x,,0.3001211589461629,95.32956590773499,1.1602069350204411
90,,x,x,,x,,,x,,,x,,x,0.3001211589461629,95.32956590773499,1.1602069350204411
91,,x,x,,,x,,,x,,,x,,0.47195339919291296,135.21670721409077,0.909218674242054
92,,x,x,,,x,,,x,,,,x,0.47195339919291296,135.21670721409077,0.909218674242054
93,,x,x,,,x,,,,x,,x,,0.4245964680356814,93.1564230547295,1.1031116722677012
94,,x,x,,,x,,,,x,,,x,0.4245964680356814,93.1564230547295,1.1031116722677012
95,,x,x,,,x,,,,,x,x,,0.2483934310046341,77.86413893966532,1.2863471992103812
96,,x,x,,,x,,,,,x,,x,0.2483934310046341,77.86413893966532,1.2863471992103812
97,,x,x,,,,x,,x,,,x,,,,
98,,x,x,,,,x,,x,,,,x,,,
99,,x,x,,,,x,,,x,,x,,,,
100,,x,x,,,,x,,,x,,,x,,,
101,,x,x,,,,x,,,,x,x,,,,
102,,x,x,,,,x,,,,x,,x,,,
103,,x,x,,,,,x,x,,,x,,0.4479958351610011,126.41121415651098,0.9027957642585591
104,,x,x,,,,,x,x,,,,x,0.4479958351610011,126.41121415651098,0.9027957642585591
105,,x,x,,,,,x,,x,,x,,0.4245964680356814,93.1564230547295,1.1031116722677012
106,,x,x,,,,,x,,x,,,x,0.4245964680356814,93.1564230547295,1.1031116722677012
107,,x,x,,,,,x,,,x,x,,0.2622893355243607,76.10356491167755,1.3149352093534037
108,,x,x,,,,,x,,,x,,x,0.2622893355243607,76.10356491167755,1.3149352093534037
109,,x,,x,x,x,,,x,,,x,,0.4904088613905795,148.70690635205187,0.8627452305703761
110,,x,,x,x,x,,,x,,,,x,0.4904088613905795,148.70690635205187,0.8627452305703761
111,,x,,x,x,x,,,,x,,x,,0.4560309822301556,111.20538704163336,0.9836459682167235
112,,x,,x,x,x,,,,x,,,x,0.4560309822301556,111.20538704163336,0.9836459682167235
113,,x,,x,x,x,,,,,x,x,,0.27316121451354775,95.70706893404953,1.179748295433994
114,,x,,x,x,x,,,,,x,,x,0.27316121451354775,95.70706893404953,1.179748295433994
115,,x,,x,x,,x,,x,,,x,,,,
116,,x,,x,x,,x,,x,,,,x,,,
117,,x,,x,x,,x,,,x,,x,,,,
118,,x,,x,x,,x,,,x,,,x,,,
119,,x,,x,x,,x,,,,x,x,,,,
120,,x,,x,x,,x,,,,x,,x,,,
121,,x,,x,x,,,x,x,,,x,,0.46837136712106986,138.25972429683063,0.8539692803560133
122,,x,,x,x,,,x,x,,,,x,0.46837136712106986,138.25972429683063,0.8539692803560133
123,,x,,x,x,,,x,,x,,x,,0.4548320928543054,110.83391118967796,0.9989593719156307
124,,x,,x,x,,,x,,x,,,x,0.4548320928543054,110.83391118967796,0.9989593719156307
125,,x,,x,x,,,x,,,x,x,,0.3001211589461629,95.32956590773499,1.1602069350204411
126,,x,,x,x,,,x,,,x,,x,0.3001211589461629,95.32956590773499,1.1602069350204411
127,,x,,x,,x,,,x,,,x,,0.47195339919291296,135.21670721409077,0.909218674242054
128,,x,,x,,x,,,x,,,,x,0.47195339919291296,135.21670721409077,0.909218674242054
129,,x,,x,,x,,,,x,,x,,0.4245964680356814,93.1564230547295,1.1031116722677012
130,,x,,x,,x,,,,x,,,x,0.4245964680356814,93.1564230547295,1.1031116722677012
131,,x,,x,,x,,,,,x,x,,0.2483934310046341,77.86413893966532,1.2863471992103812
132,,x,,x,,x,,,,,x,,x,0.2483934310046341,77.86413893966532,1.2863471992103812
133,,x,,x,,,x,,x,,,x,,,,
134,,x,,x,,,x,,x,,,,x,,,
135,,x,,x,,,x,,,x,,x,,,,
136,,x,,x,,,x,,,x,,,x,,,
137,,x,,x,,,x,,,,x,x,,,,
138,,x,,x,,,x,,,,x,,x,,,
139,,x,,x,,,,x,x,,,x,,0.4479958351610011,126.41121415651098,0.9027957642585591
140,,x,,x,,,,x,x,,,,x,0.4479958351610011,126.41121415651098,0.9027957642585591
141,,x,,x,,,,x,,x,,x,,0.4245964680356814,93.1564230547295,1.1031116722677012
142,,x,,x,,,,x,,x,,,x,0.4245964680356814,93.1564230547295,1.1031116722677012
143,,x,,x,,,,x,,,x,x,,0.2622893355243607,76.10356491167755,1.3149352093534037
144,,x,,x,,,,x,,,x,,x,0.2622893355243607,76.10356491167755,1.3149352093534037
